accommodates,price,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,availability_90,number_of_reviews,amenities,number_of_reviews_l30d,bedrooms,beds,minimum_nights,review_scores_cleanliness,review_scores_location,review_scores_value,calculated_host_listings_count_entire_homes,latitude,longitude,bathroom_number,air_conditioning,kitchen,coffee_maker,elevator,distance
6,566,la Dreta de l'Eixample,Eixample,Entire home/apt,82,1,"[""Fire extinguisher"", ""Cooking basics"", ""Security cameras on property"", ""Dryer"", ""Dining table"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Microwave"", ""Toaster"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Wine glasses"", ""Dishwasher"", ""Coffee maker"", ""Drying rack for clothing"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Clothing storage: closet"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Body soap"", ""Elevator"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Paid parking lot off premises""]",0,2.0,5.0,2,5.0,5.0,5.0,1,41.39275,2.16648,2.0,0,0,1,1,0.20488764480847577
8,561,la Vila Olímpica del Poblenou,Sant Martí,Entire home/apt,89,36,"[""Air conditioning"", ""Dryer"", ""High chair"", ""Room-darkening shades"", ""Hangers"", ""TV"", ""Paid parking on premises"", ""Iron"", ""Kitchen"", ""Hot water"", ""Wifi"", ""Babysitter recommendations"", ""Heating"", ""Essentials"", ""Elevator"", ""Crib"", ""Host greets you"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Washer""]",0,3.0,5.0,4,4.91,4.86,4.74,2,41.39017,2.19752,2.5,1,1,0,1,2.708319842837962
6,561,la Dreta de l'Eixample,Eixample,Entire home/apt,58,18,"[""Bathtub"", ""Long term stays allowed"", ""Wifi"", ""Paid parking off premises"", ""Heating"", ""Air conditioning"", ""TV"", ""Washer"", ""Iron"", ""Elevator"", ""Dishwasher""]",3,3.0,4.0,1,4.94,4.94,4.89,1,41.39057,2.16377,3.0,1,0,0,1,0.13219882369294883
6,559,la Dreta de l'Eixample,Eixample,Entire home/apt,68,79,"[""Stove"", ""Air conditioning"", ""Dryer"", ""Smart lock"", ""Hangers"", ""Bathtub"", ""TV"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Private entrance"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Dedicated workspace"", ""Patio or balcony""]",0,3.0,4.0,2,4.61,4.94,4.48,127,41.38723,2.16768,2.0,1,1,1,1,0.49500285183647
10,558,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,Entire home/apt,56,45,"[""Air conditioning"", ""Dryer"", ""High chair"", ""Bathtub"", ""TV"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Pool"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Crib"", ""Long term stays allowed"", ""Oven"", ""Hair dryer"", ""Washer"", ""Patio or balcony""]",3,4.0,7.0,1,4.49,4.8,4.47,38,41.4071,2.21335,3.0,1,1,1,1,4.395388001030383
10,558,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,Entire home/apt,55,33,"[""Air conditioning"", ""Dryer"", ""High chair"", ""Bathtub"", ""TV"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Pool"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Crib"", ""Long term stays allowed"", ""Oven"", ""Hair dryer"", ""Washer"", ""Patio or balcony""]",2,4.0,8.0,1,4.56,4.9,4.39,38,41.4071,2.21335,3.0,1,1,1,1,4.395388001030383
8,557,el Barri Gòtic,Ciutat Vella,Entire home/apt,63,89,"[""Cable TV"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""High chair"", ""Hangers"", ""Microwave"", ""Extra pillows and blankets"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Pool"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Patio or balcony""]",0,3.0,7.0,1,4.73,4.88,4.35,4,41.37775,2.17867,2.0,1,1,1,1,1.8794645676324893
4,555,Sants,Sants-Montjuïc,Entire home/apt,89,1,"[""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Wifi"", ""Shampoo"", ""Heating"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Free parking on premises"", ""Iron"", ""Essentials""]",0,2.0,2.0,7,5.0,5.0,5.0,1,41.37553,2.1317,1.0,1,1,0,0,3.287395031044917
10,550,Hostafrancs,Sants-Montjuïc,Entire home/apt,9,8,"[""Mini fridge"", ""Air conditioning"", ""Cooking basics"", ""Room-darkening shades"", ""BBQ grill"", ""Smart lock"", ""Hangers"", ""Freezer"", ""Cleaning products"", ""TV"", ""Microwave"", ""Toaster"", ""Extra pillows and blankets"", ""Cleaning before checkout"", ""Iron"", ""Clothing storage: closet and wardrobe"", ""Dishwasher"", ""Drying rack for clothing"", ""Hot water"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Backyard"", ""Essentials"", ""Bed linens"", ""Body soap"", ""Private entrance"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Patio or balcony"", ""Outdoor furniture""]",2,5.0,7.0,2,4.0,4.63,4.0,61,41.37495,2.14605,2.0,1,1,0,0,2.408413010032682
7,550,el Guinardó,Horta-Guinardó,Entire home/apt,18,57,"[""Cable TV"", ""Kitchen"", ""Private entrance"", ""Fire extinguisher"", ""Dishes and silverware"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""Air conditioning"", ""Backyard"", ""TV with standard cable"", ""Washer"", ""Extra pillows and blankets"", ""Pool"", ""Essentials"", ""Patio or balcony"", ""Bed linens"", ""Coffee maker""]",1,4.0,7.0,4,4.8,4.55,4.61,3,41.41752,2.17448,2.0,1,1,1,0,3.0261404036055866
4,550,la Dreta de l'Eixample,Eixample,Entire home/apt,8,231,"[""Cable TV"", ""Central heating"", ""Fire extinguisher"", ""Baking sheet"", ""Cooking basics"", ""Ethernet connection"", ""Dining table"", ""Conditioner"", ""High chair"", ""Room-darkening shades"", ""Private patio or balcony"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Cleaning products"", ""Safe"", ""Central air conditioning"", ""Microwave"", ""Toaster"", ""Extra pillows and blankets"", ""Siemens refrigerator"", ""Iron"", ""Shower gel"", ""Wine glasses"", ""Siemens induction stove"", ""Dishwasher"", ""Coffee maker"", ""Drying rack for clothing"", ""Hot water"", ""Kitchen"", ""First aid kit"", ""Wifi"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Nespresso machine"", ""Essentials"", ""Bed linens"", ""Outdoor shower"", ""Body soap"", ""Elevator"", ""Crib"", ""Private entrance"", ""Siemens oven"", ""Clothing storage: wardrobe and closet"", ""Host greets you"", ""Outdoor dining area"", ""Long term stays allowed"", ""Paid parking off premises"", ""Shampoo"", ""HDTV with Netflix, standard cable"", ""Indoor fireplace"", ""Hair dryer"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Outdoor furniture""]",7,2.0,3.0,2,5.0,5.0,4.89,1,41.38578,2.1678,2.0,0,1,1,1,0.6473079070883742
9,550,Sant Antoni,Eixample,Entire home/apt,10,3,"[""Private entrance"", ""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Wifi"", ""Shampoo"", ""Heating"", ""Air conditioning"", ""Hair dryer"", ""Backyard"", ""Washer"", ""Coffee maker"", ""Refrigerator"", ""Essentials"", ""Dedicated workspace"", ""Patio or balcony"", ""Elevator"", ""Crib""]",0,5.0,6.0,2,4.67,4.0,4.33,61,41.37525,2.16733,2.0,1,1,1,1,1.7871155831931003
10,549,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,Entire home/apt,64,19,"[""Air conditioning"", ""Dryer"", ""High chair"", ""Bathtub"", ""TV"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Pool"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Crib"", ""Long term stays allowed"", ""Oven"", ""Hair dryer"", ""Washer"", ""Patio or balcony""]",1,4.0,7.0,1,4.32,4.79,4.32,38,41.4057,2.21524,2.0,1,1,1,1,4.48206099717641
14,549,la Dreta de l'Eixample,Eixample,Entire home/apt,38,5,"[""Kitchen"", ""Long term stays allowed"", ""Fire extinguisher"", ""First aid kit"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Smoke alarm"", ""Cooking basics"", ""Iron"", ""Essentials"", ""Dedicated workspace"", ""Elevator"", ""Hangers"", ""Crib"", ""Building staff""]",2,7.0,14.0,1,4.8,4.8,4.2,7,41.39782,2.16682,4.0,1,1,0,1,0.7465568189825168
10,542,Hostafrancs,Sants-Montjuïc,Entire home/apt,9,8,"[""Air conditioning"", ""Cooking basics"", ""Room-darkening shades"", ""Smart lock"", ""Hangers"", ""Cleaning products"", ""TV"", ""Microwave"", ""Extra pillows and blankets"", ""Iron"", ""Shower gel"", ""Coffee maker"", ""Drying rack for clothing"", ""Hot water"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""H&S shampoo"", ""Long term stays allowed"", ""Clothing storage: wardrobe and closet"", ""H&M body soap"", ""Hair dryer"", ""Washer"", ""Luggage dropoff allowed"", ""Dedicated workspace""]",0,5.0,7.0,1,4.25,4.88,4.0,61,41.37623,2.14811,2.0,1,1,1,0,2.1883589066982023
